,StockCode
446,21107
447,35004C
448,21354
449,21107
450,21374
451,21365
452,22466
453,22540
454,21777
455,84997A
456,84997C
457,21055
458,21427
459,22135
460,90214M
461,90214V
462,90214S
463,90214J
464,21789
465,21629
466,22497
467,21850
468,20768
469,20780
470,21398
471,21643
472,22136
473,47591B
474,85064
475,21488
476,16168M
477,17012A
478,17012B
479,17012C
480,17012D
481,17012E
482,17012F
483,17014A
484,17084P
485,20616
486,20617
487,20619
488,20653
489,20681
490,20696
491,20699
492,20700
493,20761
494,20780
495,20846
496,20931
497,20966
498,21002
499,21055
500,21067
501,21069
502,21109
503,21111
504,21128
505,21188
506,21191
507,21192
508,21208
509,21220
510,21249
511,21262
512,21279
513,21281
514,21349
515,21352
516,21486
517,21488
518,21520
519,21537
520,21547
521,21576
522,21638
523,21648
524,21656
525,21684
526,21698
527,21743
528,21777
529,21789
530,21820
531,21821
532,21851
533,21879
534,22100
535,22117
536,22124
537,22134
538,22135
539,22162
540,22184
541,22198
542,22245
543,22246
544,22276
545,22277
546,22304
547,22317
548,22324
549,22325
550,22393
551,22405
552,22409
553,22451
554,22458
555,22459
556,22472
557,22503
558,22547
559,22582
560,22589
561,22602
562,22742
563,22788
564,22862
565,22863
566,22870
567,35095A
568,35598B
569,35599D
570,35637A
571,35916C
572,35957
573,35965
574,35967
575,37444C
576,46775D
577,46776B
578,47591B
579,47594A
580,71496A
581,72134
582,72816
583,79067
584,79302M
585,82616C
586,84086C
587,84459B
588,84520B
589,84559B
590,84596J
591,84609
592,84659A
593,84663A
594,84754
595,84828
596,84913B
597,84915
598,84923
599,84976
600,85008
601,85017A
602,85032D
603,85040B
604,85064
605,85114A
606,85114B
607,85116
608,85135B
609,85136A
610,85136C
611,85170D
612,85199L
613,85212
614,85232B
615,85232D
616,90013B
617,90018B
618,90019B
619,90036F
620,90040B
621,90051
622,90054
623,90124B
624,90134
625,90138
626,90161A
627,90161B
628,90166
629,90173
630,90177C
631,90177E
632,90181B
633,90192
634,90200C
635,90206C
636,90209C
637,90211A
638,90214A
639,90214E
640,90214H
641,90214S
642,22785
643,84658
644,22448
645,22447
646,22519
647,21472
648,22524
649,20765
650,21624
651,84926A
652,22802
653,72803A
654,40001
655,21709
656,22220
657,85034A
658,72818
659,84744
660,21221
661,20755
662,21421
663,21422
664,21056
665,22803
666,22632
667,22632
668,22863
669,21364
670,20966
671,22272
672,22602
673,22863
674,22632
675,62096A
676,85071D
677,22044
678,21360
679,22632
680,22618
681,21354
682,85116
683,21125
684,79302M
685,20893
686,21743
687,22198
688,22466
689,21060
690,21061
691,21062
692,21719
693,21722
694,21724
695,84826
696,21883
697,21881
698,21518
699,21520
700,72818
701,22245
702,84674
703,21069
704,22783
705,22632
706,22632
707,22924
708,22923
709,22832
710,22198
711,79191C
712,47471
713,85231G
714,16046
715,85135B
716,22911
717,72818
718,20878
719,22559
720,20878
721,20967
722,22071
723,21537
724,85216
725,21161
726,22285
727,85035A
728,22761
729,85136A
730,20967
731,84997A
732,84997C
733,22602
734,22595
735,21741
736,21738
737,72816
738,40016
739,22202
740,21364
741,47591B
742,84341B
743,84509G
744,21161
745,20832
746,84846A
747,22442
748,22168
749,22797
750,22595
751,21586
752,22803
753,22632
754,22803
755,22632
756,85135B
757,21743
758,20798
759,22320
760,21249
761,37495
762,85132B
763,22215
764,84997A
765,22316
766,22806
767,85159A
768,85064
769,35004C
770,21784
771,17090D
772,17090A
773,72127
774,72133
775,84763
776,85127
777,21472
778,22451
779,22450
780,22514
781,22862
782,21427
783,21211
784,22316
785,90175C
786,90180A
787,90178A
788,21465
789,16012
790,85135B
791,85025C
792,21851
793,21849
794,85124B
795,85124C
796,22785
797,85177
798,21587
799,85049F
800,90082D
801,90082A
802,90082B
803,90081A
804,90204
805,90185B
806,90185C
807,90195A
808,90196A
809,90199A
810,90177C
811,90186A
812,20894
813,85106
814,22480
815,21415
816,85106
817,21415
818,21710
819,21417
820,22343
821,22472
822,18097C
823,22472
824,21415
825,20967
826,22803
827,22632
828,22803
829,22632
830,84754
831,21911
832,20759
833,20760
834,20757
835,20755
836,22953
837,22198
838,20967
839,85185D
840,85185B
841,84870B
842,84870C
843,90200D
844,90200A
845,22863
846,10002
847,22325
848,21349
849,21488
850,79164
851,84683
852,79163
853,22924
854,85199L
855,22985
856,85114A
857,22705
858,22575
859,72801C
860,72801D
861,22198
862,22862
863,21735
864,21422
865,20967
866,22198
867,22341
868,22454
869,22453
870,85116
871,84952C
872,84952B
873,35001G
874,22533
875,85116
876,84952B
877,22533
878,22454
879,22453
880,22632
881,22803
882,22632
883,22264
884,21719
885,22181
886,21392
887,21393
888,84952C
889,84952B
890,21025
891,21031
892,21030
893,21026
894,21032
895,21026
896,21578
897,21392
898,21393
899,21354
900,21357
901,21587
902,20766
903,21398
904,21399
905,72598
906,16258A
907,21578
908,21587
909,21426
910,84985A
911,21581
912,90002D
913,21911
914,22031
915,21067
916,22777
917,79067
918,21788
919,21069
920,22408
921,22406
922,22405
923,22595
924,22043
925,22044
926,22042
927,85032D
928,72816
929,35957
930,72799E
931,21586
932,21129
933,21063
934,21059
935,22877
936,22869
937,22878
938,22832
939,84880
940,21925
941,22863
942,22785
943,21364
944,22595
945,22334
946,21349
947,21352
948,21111
949,22655
950,22060
951,22198
952,21039
953,21157
954,47570B
955,21486
956,85214
957,72232
958,40016
959,84247G
960,21143
961,85064
962,21333
963,21820
964,21821
965,22162
966,20615
967,47021G
968,22443
969,22442
970,22797
971,20681
972,22272
973,21807
974,22067
975,22591
976,22128
977,22276
978,22503
979,22504
980,84678
981,22632
982,22802
983,85049B
984,85049D
985,85049F
986,22595
987,21462
988,22582
989,85032D
990,22575
991,20658
992,20941
993,21066
994,21205
995,21361
996,21710
997,22136
998,22202
999,22525
1000,22786
1001,79067
1002,84754
1003,84872a
1004,10120
1005,20767
1006,90094
1007,10002
1008,21883
1009,21882
1010,21026
1011,85135B
1012,21884
1013,21586
1014,21192
1015,21488
1016,10002
1017,18098c
1018,20615
1019,20655
1020,20681
1021,21100
1022,21109
1023,21157
1024,21192
1025,21710
1026,21944
1027,22136
1028,22166
1029,22515
1030,22518
1031,22525
1032,84509c
1033,84596e
1034,84993A
1035,20998
1036,21143
1037,22702
1038,21462
1039,22405
1040,22406
1041,85049F
1042,22912
1043,22913
1044,22450
1045,22451
1046,84925D
1047,84520B
1048,79067
1049,84625A
1050,35001G
1051,22042
1052,22067
1053,22105
1054,22118
1055,22135
1056,22136
1057,22162
1058,22198
1059,22216
1060,22245
1061,22246
1062,22255
1063,22272
1064,22276
1065,22277
1066,22288
1067,22299
1068,22304
1069,22324
1070,22336
1071,22363
1072,22395
1073,22406
1074,22444
1075,22466
1076,22471
1077,22497
1078,22540
1079,22545
1080,22546
1081,22575
1082,22589
1083,22595
1084,22760
1085,22777
1086,22785
1087,22862
1088,22882
1089,22884
1090,22949
1091,35598D
1092,35599B
1093,35954
1094,35965
1095,44234
1096,46776B
1097,47591B
1098,71143
1099,71496A
1100,72586
1101,72816
1102,75131
1103,79191B
1104,82616C
1105,84534B
1106,84558A
1107,84598
1108,84625A
1109,84659A
1110,84660C
1111,84661B
1112,84663A
1113,84673B
1114,84685
1115,84763
1116,84880
1117,84923
1118,84926A
1119,84927A
1120,84927F
1121,84968C
1122,85017A
1123,85025B
1124,85055
1125,85106
1126,85114B
1127,85135B
1128,85135C
1129,85136A
1130,85167B
1131,85169A
1132,85169B
1133,85169C
1134,85169D
1135,85186A
1136,85232B
1137,90000D
1138,90003E
1139,90028
1140,90060F
1141,90114
1142,90115
1143,90120B
1144,90129F
1145,90141A
1146,90190C
1147,90199B
1148,90205A
1149,90209B
1150,90209C
1151,90214A
1152,90214B
1153,90214C
1154,90214E
1155,90214F
1156,90214G
1157,90214H
1158,90214I
1159,90214L
1160,90214N
1161,90214R
1162,90214Y
1163,10002
1164,16218
1165,18098C
1166,20681
1167,20686
1168,21200
1169,22589
1170,20770
1171,20846
1172,20902
1173,20966
1174,21002
1175,21025
1176,21051
1177,21107
1178,21111
1179,21112
1180,21147
1181,21191
1182,21192
1183,21195
1184,21219
1185,21220
1186,21221
1187,21249
1188,21261
1189,21262
1190,21263
1191,21286
1192,21349
1193,21486
1194,21488
1195,21638
1196,21640
1197,21643
1198,21651
1199,21698
1200,21711
1201,21725
1202,21815
1203,21826
1204,21828
1205,21883
1206,21884
1207,21911
1208,21027
1209,90099
1210,90096
1211,21161
1212,21095
1213,84997A
1214,84944
1215,35957
1216,35954
1217,85018D
1218,85032D
1219,84247N
1220,84247K
1221,21250
1222,21678
1223,84569B
1224,84569B
1225,22438
1226,21828
1227,21377
1228,21379
1229,37489D
1230,17107D
1231,37489B
1232,37489C
1233,20998
1234,84997A
1235,21100
1236,37489A
1237,21469
1238,21465
1239,22450
1240,22451
1241,22454
1242,35004C
1243,84534B
1244,37343
1245,84520B
1246,22688
1247,22414
1248,85130A
1249,85129C
1250,21333
1251,22137
1252,84685
1253,85230B
1254,85230F
1255,85136C
1256,21820
1257,20967
1258,20967
1259,85136A
1260,20734
1261,20960
1262,20966
1263,21488
1264,22524
1265,84997c
1266,84507C
1267,82616C
1268,82616B
1269,20966
1270,84352
1271,85232B
1272,21784
1273,22504
1274,22409
1275,90196B
1276,90198B
1277,22482
1278,21818
1279,20661
1280,20615
1281,20773
1282,21850
1283,20652
1284,21845
1285,22304
1286,20967
1287,20854
1288,84877D
1289,20657
1290,47422
1291,10120
1292,20774
1293,20773
1294,20658
1295,47503H
1296,72130
1297,72128
1298,72127
1299,47343A
1300,85049F
1301,72802A
1302,20967
1303,84558A
1304,84581
1305,85135B
1306,72802B
1307,21054
1308,22618
1309,22339
1310,22337
1311,21040
1312,22359
1313,82011C
1314,84865
1315,84880
1316,22509
1317,22471
1318,46000R
1319,22786
1320,22660
1321,90054
1322,90145
1323,90143
1324,90010A
1325,90010B
1326,90051
1327,90050
1328,20893
1329,22438
1330,84247G
1331,21721
1332,22466
1333,21726
1334,21211
1335,21125
1336,21724
1337,22198
1338,22660
1339,79067
1340,21360
1341,20697
1342,20699
1343,22117
1344,35004C
1345,85135C
1346,20936
1347,85055
1348,84924A
1349,35810B
1350,35241
1351,21850
1352,20773
1353,21579
1354,21579
1355,21579
1356,22862
1357,21192
1358,22316
1359,21112
1360,17109D
1361,21427
1362,21192
1363,22118
1364,22575
1365,72802B
1366,72800B
1367,72800D
1368,22802
1369,22471
1370,84819
1371,90175C
1372,90185D
1373,90210B
1374,90175A
1375,90002D
1376,72802A
1377,72802B
1378,72802A
1379,22458
1380,22459
1381,21333
1382,85064
1383,22602
1384,10002
1385,22595
1386,85018D
1387,90162B
1388,90162D
1389,20615
1390,22399
1391,85124B
1392,85124C
1393,84581
1394,84827
1395,22304
1396,20936
1397,22799
1398,85064
1399,22307
1400,22305
1401,20854
1402,20856
1403,20967
1404,84898F
1405,22415
1406,22480
1407,22482
1408,22618
1409,22255
1410,22256
1411,20681
1412,21161
1413,85214
1414,22524
1415,22525
1416,22479
1417,85124C
1418,84508B
1419,84508B
1420,22450
1421,22451
1422,85124C
1423,17091J
1424,72232
1425,85135C
1426,72598
1427,84993B
1428,21354
1429,85232B
1430,21125
1431,22911
1432,20967
1433,35965
1434,72816
1435,20684
1436,84596E
1437,21486
1438,22543
1439,22466
1440,79302M
1441,85135B
1442,85136C
1443,22618
1444,84898F
1445,84898F
1446,21445
1447,77101A
1448,22242
1449,84358
1450,20967
1451,22913
1452,22638
1453,21294
1454,20878
1455,21468
1456,22480
1457,22272
1458,22480
1459,22788
1460,22184
1461,71279
1462,22761
1463,22769
1464,21807
1465,22272
1466,85049B
1467,84754
1468,20878
1469,22597
1470,22598
1471,84849B
1472,21743
1473,21807
1474,84534B
1475,21587
1476,85064
1477,85231G
1478,85018D
1479,22529
1480,22532
1481,20894
1482,85018D
1483,21413
1484,79149B
1485,21682
1486,78034B
1487,22894
1488,21664
1489,71406C
1490,21209
1491,22354
1492,17107D
1493,21635
1494,84952C
1495,84952B
1496,21467
1497,21351
1498,21157
1499,35653
1500,21421
1501,21422
1502,85130A
1503,85130D
1504,84569D
1505,85185B
1506,84921
1507,35954
1508,35957
1509,84508C
1510,84508B
1511,84754
1512,22595
1513,90086
1514,84827
1515,62018
1516,16011
1517,85179A
1518,21785
1519,84874B
1520,22181
1521,84827
1522,22071
1523,21808
1524,85167B
1525,84352
1526,22480
1527,84569D
1528,84744
1529,21882
1530,72051S
1531,22100
1532,72799E
1533,72799F
1534,84596E
1535,22953
1536,20764
1537,21427
1538,22198
1539,21882
1540,21726
1541,21723
1542,21881
1543,21882
1544,22100
1545,21581
1546,84051
1547,21187
1548,84534B
1549,85135B
1550,21025
1551,22913
1552,21696
1553,35598B
1554,21696
1555,85135B
1556,22198
1557,22742
1558,62018
1559,21785
1560,20980
1561,22100
1562,85179A
1563,84827
1564,21785
1565,84827
1566,21427
1567,21581
1568,35954
1569,75013B
1570,21761
1571,22830
1572,35598B
1573,82011B
1574,21630
1575,22765
1576,84997A
1577,21811
1578,20878
1579,22466
1580,21580
1581,22334
1582,85199L
1583,21657
1584,21107
1585,21106
1586,21147
1587,22638
1588,21580
1589,20748
1590,85208
1591,21106
1592,21107
1593,22129
1594,22128
1595,22808
1596,21109
1597,20702
1598,85187
1599,22913
1600,22912
1601,22862
1602,22862
1603,21683
1604,22770
1605,84865
1606,84563A
1607,84563B
1608,37444A
1609,85035B
1610,35004C
1611,79190A
1612,22640
1613,21143
1614,85129D
1615,85129C
1616,21811
1617,21811
1618,22640
1619,21811
1620,85129B
1621,35924
1622,22595
1623,85129D
1624,21624
1625,85130A
1626,84508B
1627,20967
1628,84509G
1629,21904
1630,21422
1631,21361
1632,21849
1633,21849
1634,22482
1635,21811
1636,21820
1637,22443
1638,82616B
1639,84247G
1640,82616B
1641,21038
1642,47343A
1643,47369A
1644,47369B
1645,22272
1646,22450
1647,22451
1648,85055
1649,16014
1650,22471
1651,47367B
1652,21811
1653,21695
1654,21688
1655,84898F
1656,22272
1657,21424
1658,22602
1659,21807
1660,21817
1661,21818
1662,21018
1663,22252
1664,22135
1665,22924
1666,85135B
1667,22313
1668,90082B
1669,90082D
1670,90082B
1671,21581
1672,21401
1673,22924
1674,84597C
1675,51020A
1676,51020B
1677,21306
1678,21311
1679,21307
1680,21393
1681,21401
1682,85114A
1683,21635
1684,20767
1685,21277
1686,84558A
1687,21587
1688,22532
1689,90185D
1690,90082D
1691,90082B
1692,90200E
1693,90062
1694,21467
1695,17090D
1696,22482
1697,21056
1698,85231G
1699,82616C
1700,20768
1701,21112
1702,21850
1703,21719
1704,20655
1705,20615
1706,20659
1707,72802B
1708,22215
1709,20966
1710,85215
1711,85124C
1712,85124B
1713,85064
1714,84658
1715,18098C
1716,22198
1717,72818
1718,22923
1719,22134
1720,22135
1721,22949
1722,85036C
1723,85035A
1724,85035B
1725,22618
1726,85170D
1727,22450
1728,21640
1729,20966
1730,85135C
1731,21055
1732,85025C
1733,21202
1734,35971
1735,35971
1736,22602
1737,21191
1738,21192
1739,21187
1740,21202
1741,84531A
1742,21911
1743,84531B
1744,84531A
1745,21910
1746,21192
1747,21187
1748,22461
1749,22833
1750,22406
1751,84881
1752,22830
1753,84846A
1754,21613
1755,21609
1756,21688
1757,22405
1758,21695
1759,21693
1760,21361
1761,22497
1762,22500
1763,21187
1764,84809A
1765,21807
1766,21804
1767,79191C
1768,79190D
1769,21807
1770,22863
1771,22589
1772,85025C
1773,22863
1774,72816
1775,20878
1776,21804
1777,21807
1778,21820
1779,22157
1780,22307
1781,21143
1782,21351
1783,21351
1784,84531B
1785,22602
1786,84795B
1787,79191B
1788,21807
1789,22863
1790,22582
1791,20757
1792,20757
1793,20757
1794,20764
1795,20770
1796,20771
1797,20765
1798,20774
1799,20773
1800,20774
1801,84944
1802,22949
1803,37327
1804,22832
1805,85027L
1806,84709B
1807,79067
1808,85049D
1809,84531A
1810,84531B
1811,85017C
1812,21657
1813,35001W
1814,84707B
1815,21167
1816,51008
1817,20802
1818,22052
1819,22705
1820,20781
1821,22389
1822,10002
1823,21109
1824,22304
1825,22073
1826,22073
1827,16218
1828,16258A
1829,17012C
1830,17012E
1831,17012F
1832,18098C
1833,20615
1834,20622
1835,20696
1836,20699
1837,20716
1838,20782
1839,20846
1840,20847
1841,20936
1842,20966
1843,21026
1844,21039
1845,21069
1846,21112
1847,21147
1848,21187
1849,21191
1850,21219
1851,21220
1852,21249
1853,21262
1854,21279
1855,21291
1856,21319
1857,21352
1858,21359
1859,21397
1860,21486
1861,21488
1862,21627
1863,21632
1864,21641
1865,21678
1866,21688
1867,21721
1868,21725
1869,21726
1870,21738
1871,21743
1872,21777
1873,21811
1874,21821
1875,21826
1876,21851
1877,21882
1878,21884
1879,22100
1880,22106
1881,22108
1882,22124
1883,22134
1884,22135
1885,22136
1886,22162
1887,22184
1888,22198
1889,22221
1890,22223
1891,22242
1892,22255
1893,22282
1894,22285
1895,22336
1896,22337
1897,22344
1898,22345
1899,22393
1900,22395
1901,22409
1902,22416
1903,22444
1904,22451
1905,22458
1906,22459
1907,22461
1908,22582
1909,22595
1910,22602
1911,22788
1912,22862
1913,22912
1914,22924
1915,22949
1916,35598D
1917,35599D
1918,35651
1919,35653
1920,35954
1921,35957
1922,35965
1923,35967
1924,35971
1925,37444C
1926,37447
1927,46118
1928,46776C
1929,46776E
1930,47591B
1931,62094B
1932,72816
1933,79302M
1934,82616B
1935,84228
1936,84341B
1937,84459B
1938,84558A
1939,84559B
1940,84596J
1941,84659A
1942,84685
1943,84763
1944,84789
1945,84813
1946,84828
1947,84849B
1948,84913B
1949,84923
1950,85025C
1951,85032D
1952,85064
1953,85093
1954,85096
1955,85132B
1956,85135B
1957,85135C
1958,85136A
1959,85136C
1960,85185B
1961,85232B
1962,90013B
1963,90013C
1964,90014B
1965,90018A
1966,90022
1967,90028
1968,90059B
1969,90062
1970,90085
1971,90086
1972,90143
1973,90158
1974,90183A
1975,90183B
1976,90190C
1977,90199A
1978,90201B
1979,90212B
1980,90214V
1981,84712B
1982,22862
1983,22280
1984,22444
1985,20966
1986,20967
1987,22395
1988,22443
1989,22444
1990,22447
1991,22450
1992,22451
1993,22454
1994,22461
1995,22471
1996,22495
1997,22497
1998,22575
1999,22589
2000,22595
2001,22602
2002,22765
2003,22802
2004,21027
2005,21031
2006,21055
2007,21111
2008,21143
2009,21188
2010,21189
2011,21219
2012,21253
2013,21261
2014,21262
2015,21265
2016,21281
2017,21333
2018,21352
2019,21366
2020,21403
2021,21486
2022,21581
2023,21618
2024,21630
2025,21643
2026,21648
2027,21693
2028,21696
2029,21698
2030,21719
2031,21721
2032,21722
2033,21723
2034,21724
2035,21743
2036,21758
2037,21777
2038,21811
2039,21815
2040,21821
2041,21826
2042,21828
2043,21847
2044,21943
2045,22042
2046,22104
2047,22106
2048,22118
2049,22134
2050,22135
2051,22162
2052,22198
2053,22285
2054,22324
2055,22336
2056,22337
2057,22339
2058,35095B
2059,35598D
2060,35599B
2061,35916A
2062,35954
2063,35957
2064,35971
2065,37447
2066,37476
2067,40016
2068,46776A
2069,47369A
2070,72598
2071,84459A
2072,84459B
2073,84509B
2074,84534B
2075,84637
2076,84659A
2077,84828
2078,84865
2079,84913B
2080,84923
2081,85039C
2082,85116
2083,85129D
2084,85131C
2085,85135C
2086,85177
2087,85179A
2088,85231G
2089,90010E
2090,90013C
2091,90039C
2092,90059B
2093,90071
2094,90081C
2095,90096
2096,90101
2097,90115
2098,90130B
2099,90130C
2100,90192
2101,90200D
2102,90200E
2103,10002
2104,10125
2105,15044C
2106,17012F
2107,20681
2108,20684
2109,20699
2110,20755
2111,20762
2112,20803
2113,20867
2114,20902
2115,18007
2116,22615
2117,18098C
2118,21676
2119,21723
2120,21720
2121,84968F
2122,79030D
2123,21291
2124,21289
2125,22454
2126,22911
2127,21826
2128,22466
2129,22466
2130,21826
2131,22911
2132,22454
2133,35241
2134,21292
2135,20765
2136,20766
2137,37479B
2138,37482P
2139,72802B
2140,22127
2141,21187
2142,85116
2143,20903
2144,20897
2145,84744
2146,71403
2147,21291
2148,84985A
2149,21973
2150,84997C
2151,84997A
2152,22414
2153,47594A
2154,21291
2155,85136A
2156,22471
2157,21039
2158,84509B
2159,22785
2160,21349
2161,84926D
2162,84926A
2163,84926D
2164,22450
2165,22451
2166,21349
2167,35400
2168,84880
2169,22863
2170,22461
2171,22486
2172,72801G
2173,84711A
2174,21735
2175,84508B
2176,84507C
2177,22176
2178,85135C
2179,85135B
2180,20769
2181,20757
2182,47480
2183,84522
2184,20731
2185,21253
2186,21366
2187,21657
2188,22044
2189,22589
2190,21352
2191,21351
2192,22688
2193,22923
2194,21682
2195,22533
2196,22215
2197,22985
2198,21219
2199,40016
2200,10125
2201,85214
2202,22198
2203,84596E
2204,21226
2205,18007
2206,84341B
2207,21226
2208,21693
2209,21726
2210,21725
2211,21724
2212,21723
2213,21722
2214,21721
2215,21720
2216,21719
2217,22575
2218,16016
2219,79030G
2220,79160
2221,22100
2222,21719
2223,16011
2224,21738
2225,84744
2226,22176
2227,72131
2228,21693
2229,21089
2230,22482
2231,21647
2232,21647
2233,72122
2234,21693
2235,84912A
2236,85035A
2237,85036A
2238,84795B
2239,47471
2240,21692
2241,47471
2242,21618
2243,85036A
2244,84569B
2245,84569D
2246,84569A
2247,84520B
2248,22454
2249,22453
2250,20967
2251,85185B
2252,85185D
2253,20769
2254,20775
2255,21578
2256,21576
2257,90179C
2258,22638
2259,71270
2260,22660
2261,21818
2262,85020
2263,22415
2264,22705
2265,21724
2266,84558A
2267,21738
2268,22702
2269,40016
2270,22118
2271,22443
2272,72818
2273,79051A
2274,79051A
2275,72799F
2276,85169A
2277,72799E
2278,22618
2279,21191
2280,21107
2281,21738
2282,20966
2283,21106
2284,18097C
2285,22466
2286,22533
2287,84997C
2288,84997A
2289,21579
2290,22168
2291,20967
2292,72802A
2293,22533
2294,21807
2295,22162
2296,22700
2297,22618
2298,47591B
2299,10124A
2300,21587
2301,21644
2302,84625A
2303,85231G
2304,21018
2305,21018
2306,21817
2307,21818
2308,21811
2309,22336
2310,21818
2311,21811
2312,22912
2313,46000P
2314,21638
2315,22245
2316,22198
2317,84916
2318,18094C
2319,22911
2320,22953
2321,21354
2322,21357
2323,47570B
2324,21445
2325,21100
2326,84849B
2327,21904
2328,22911
2329,22085
2330,84924A
2331,20772
2332,22415
2333,85199L
2334,21811
2335,47586A
2336,75013B
2337,21351
2338,21352
2339,22595
2340,21354
2341,22480
2342,47369A
2343,22524
2344,21784
2345,20669
2346,20658
2347,20658
2348,22500
2349,21814
2350,84819
2351,22451
2352,22450
2353,79067
2354,22912
2355,21336
2356,15044C
2357,15044B
2358,20966
2359,21361
2360,79302M
2361,35954
2362,85045
2363,84352
2364,21784
2365,22788
2366,21262
2367,22050
2368,21680
2369,20819
2370,35598D
2371,21187
2372,21580
2373,21578
2374,84925F
2375,84997A
2376,21143
2377,22777
2378,22953
2379,22533
2380,22529
2381,22532
2382,21547
2383,84944
2384,17021
2385,84520B
2386,85036C
2387,22602
2388,22595
2389,21743
